decorated,owner_unit,n_emitters,method
?setAction@TaiSerialAction@@QAEXHPAVTaiAction@@@Z,taiotimoti,3,ilk-range
?setAction@TaiState@@QAEXHPAVTaiAction@@@Z,taichappy,22,ilk-range
?setAlpha@P2DPicture@@QAEXE@Z,drawGameInfo,23,ilk-range
?setAlpha@P2DTextBox@@QAEXE@Z,drawContainer,5,link-order
?setAnimFlags@TAIanimation@@QAEXK@Z,TAIotama,10,ilk-range
?setAnimSpeed@YTeki@@QAEMM@Z,TAIotama,7,ilk-range
?setAttackTimer@Boss@@QAEXM@Z,MizuAi,7,ilk-range
?setBiteSwitch@YTeki@@QAEX_N@Z,TAIAattack,2,ilk-range
?setBlack@P2DPicture@@QAEXVColour@@@Z,drawGameInfo,5,ilk-range
?setBootContainer@PlayerState@@QAEXH@Z,demoEvent,2,ilk-range
?setCentre@Creature@@UAEXAAVVector3f@@@Z,tekibteki,41,ilk-range
?setCharColor@P2DTextBox@@QAEXVColour@@@Z,drawFinalResult,6,link-order
?setContainer@PlayerState@@QAEXH@Z,playerState,2,ilk-range
?setCreatureFlag@Creature@@QAEXK@Z,tekibteki,48,ilk-range
?setCreaturePointer@BTeki@@QAEXHPAVCreature@@@Z,tekibteki,16,ilk-range
?setCurrState@AICreature@@UAEXPAV?$AState@VAICreature@@@@@Z,itemMgr,16,ilk-range
?setCurrState@Piki@@QAEXPAV?$AState@VPiki@@@@@Z,piki,2,link-order
?setCurrentState@Boss@@QAEXH@Z,MizuAi,9,ilk-range
?setDamagePoint@Boss@@QAEXM@Z,CoreNucleusAi,2,ilk-range
?setDayEnd@PlayerState@@QAEX_N@Z,playerState,2,ilk-range
?setDirection@BTeki@@QAEXM@Z,tekibteki,6,ilk-range
?setDororoGravity@YTeki@@QAEXM@Z,TAIdororo,2,ilk-range
?setDynFlag@DynCreature@@IAEXH@Z,pelletMgr,2,ilk-range
?setDynamicsSimpleFixed@DualCreature@@QAEX_N@Z,pelletMgr,2,ilk-range
?setEventOption@PeveEvent@@UAEXH@Z,pcammotionevents,4,ilk-range
?setEventOptions@PeveEvent@@UAEXH@Z,pcammotionevents,4,ilk-range
?setF@ParaMultiParameters@@QAEXHM@Z,tekibteki,26,ilk-range
?setF@TekiPersonality@@QAEXHM@Z,tekibteki,5,ilk-range
?setFlag400@Creature@@QAEXXZ,TAIusuba,3,ilk-range
?setFlyingSwitch@YTeki@@QAEX_N@Z,TAIusuba,3,ilk-range
?setFrameCounter@YTeki@@QAEXM@Z,TAIotama,14,ilk-range
?setFrameCounterMax@YTeki@@QAEXM@Z,TAIotama,3,ilk-range
?setGameCamInfo@MoviePlayer@@QAEX_NMAAVVector3f@@1@Z,newPikiGame,2,ilk-range
?setGradColor@P2DTextBox@@QAEXVColour@@@Z,drawFinalResult,5,link-order
?setI@ParaMultiParameters@@QAEXHH@Z,pcamcameraparameters,25,ilk-range
?setI@TekiPersonality@@QAEXHH@Z,taipalm,5,ilk-range
?setInsideView@Creature@@QAEXXZ,tekibteki,2,ilk-range
?setInvincible@Boss@@QAEX_N@Z,King,4,link-order
?setIsAlive@Boss@@QAEX_N@Z,Mizu,15,ilk-range
?setIsAtari@Boss@@QAEX_N@Z,Mizu,13,ilk-range
?setIsOrganic@Boss@@QAEX_N@Z,King,8,link-order
?setLimitGenerator@GeneratorMgr@@QAEX_N@Z,gameCoreSection,2,link-order
?setManualAnimation@YTeki@@QAEX_N@Z,TAIotama,7,ilk-range
?setMapCode@YTeki@@QAEXH@Z,TAIAeffect,2,ilk-range
?setMirror@P2DPicture@@QAEXW4P2DMirror@@@Z,drawCommon,2,ilk-range
?setMode@PathFinder@@SAXH@Z,piki,3,ilk-range
?setMotion@PaniMotionTable@@QAEXHPAVPaniMotion@@@Z,panitekianimator,6,ilk-range
?setMotionFinish@Boss@@QAEX_N@Z,PomAi,9,ilk-range
?setMotionSpeed@AICreature@@UAEXM@Z,simpleAI,2,ilk-range
?setName@Action@@QAEXPAD@Z,aiFree,16,ilk-range
?setNextState@Boss@@QAEXH@Z,MizuAi,9,ilk-range
?setOffset@P2DPane@@QAEXHH@Z,drawGameInfo,25,ilk-range
?setPellet@Navi@@QAEX_N@Z,navi,2,ilk-range
?setPeriod@PeveTimeCondition@@QAEXM@Z,pcammotionevents,2,ilk-range
?setPersonalityF@BTeki@@QAEXHM@Z,tekibteki,4,ilk-range
?setPersonalityI@BTeki@@QAEXHH@Z,taipalm,4,ilk-range
?setPtclGenPtr@YTeki@@QAEXW4ptclIndexFlag@1@PAVparticleGenerator@zen@@@Z,TAIhibaA,5,ilk-range
?setRouteTracer@Creature@@UAEXPAVRouteTracer@@@Z,tekibteki,41,ilk-range
?setShadowNeed@Boss@@QAEX_N@Z,Mizu,6,ilk-range
?setShadowSize@Boss@@QAEXM@Z,Mizu,5,ilk-range
?setState@TaiStrategy@@QAEXHPAVTaiState@@@Z,taichappy,10,ilk-range
?setState@YaiStrategy@@QAEXHPAVTaiState@@@Z,TAIotama,12,ilk-range
?setStateDamaged@Creature@@QAEXXZ,navi,2,ilk-range
?setStatus@YTeki@@QAEXH@Z,TAIAmove,2,ilk-range
?setStrategy@TekiStrategyTable@@QAEXHPAVTekiStrategy@@@Z,tekinakata,2,ilk-range
?setString@P2DTextBox@@QAEXPAD@Z,drawHiScore,9,link-order
?setTableIndex@YTeki@@QAEXH@Z,TAIAmove,2,ilk-range
?setTargetCreature@Boss@@QAEXPAVCreature@@@Z,KingAi,4,ilk-range
?setTargetPosition@Boss@@QAEXAAVVector3f@@@Z,KoganeAi,4,ilk-range
?setTexture@P2DPicture@@QAEXPAVTexture@@E@Z,drawGameInfo,7,link-order
?setWhite@P2DPicture@@QAEXVColour@@@Z,drawGameInfo,9,ilk-range
?shadrender@RigidBody@@UAEXAAVGraphics@@PAVLightCamera@@@Z,mapMgr,2,ilk-range
?show@P2DPane@@QAEXXZ,drawProgre,29,ilk-range
?sin@NMathF@@SAMM@Z,nlibgeometry,33,ilk-range
?size@?$Parm@M@@UAEHXZ,gameflow,24,ilk-range
?sqrt@NMathF@@SAMM@Z,taiotimoti,2,link-order
?sqrtf@std@@YAMM@Z,pcamcameramanager,29,link-order
?start@TAIAinvincibleOff@@UAEXAAVTeki@@@Z,TAIkabekuiC,4,ilk-range
?start@TAIAinvincibleOn@@UAEXAAVTeki@@@Z,TAIkabekuiC,3,link-order
?start@TAIAsetMotionSpeed@@UAEXAAVTeki@@@Z,TAIkabekuiC,4,ilk-range
?start@TAIAshadowOff@@UAEXAAVTeki@@@Z,TAIkabekuiC,3,ilk-range
?start@TAIAshadowOn@@UAEXAAVTeki@@@Z,TAIkabekuiC,3,ilk-range
?start@TAIAstickingPiki@@UAEXAAVTeki@@@Z,TAImiurin,2,ilk-range
?start@TAIAtimerReaction@@UAEXAAVTeki@@@Z,TAIotama,9,link-order
?start@TaiAction@@UAEXAAVTeki@@@Z,taichappy,25,ilk-range
?start@TaiAndAction@@UAEXAAVTeki@@@Z,taichappy,2,ilk-range
?start@TaiNotAction@@UAEXAAVTeki@@@Z,tainapkid,2,ilk-range
?startAI@Creature@@UAEXH@Z,itemMgr,26,ilk-range
?startFlying@Creature@@QAEXXZ,taiotimoti,8,link-order
?startLook@Piki@@QAEXPAVVector3f@@@Z,navi,3,ilk-range
?startMotion@AICreature@@UAEXHM@Z,simpleAI,2,ilk-range
?startPause@GameCoreSection@@SAXG@Z,navi,2,ilk-range
?startWaterEffect@Creature@@UAEXXZ,tekibteki,40,ilk-range
?stickCallback@Creature@@UAEXPAV1@@Z,tekibteki,42,ilk-range
?stickToCallback@Creature@@UAEXPAV1@@Z,tekibteki,40,ilk-range
?stop@KEffect@@UAEXXZ,navi,5,ilk-range
?stopDrive@BTeki@@QAEXXZ,tekibteki,9,ilk-range
?stopMotion@AICreature@@UAEXXZ,simpleAI,2,ilk-range
?stopMove@BTeki@@QAEXXZ,tekibteki,9,ilk-range
?stopVelocity@BTeki@@QAEXXZ,tekibteki,9,ilk-range
?subCntCallback@RefCountable@@UAEXXZ,tekibteki,41,ilk-range
?tan@NMathF@@SAMM@Z,pcamcamera,2,link-order
?timerElapsed@BTeki@@QAE_NH@Z,tekibteki,6,ilk-range
?toGoal@?$NsLibMath@M@@SAMMMM@Z,SnakeBody,2,ilk-range
?transit@?$AState@VNavi@@@@UAEXPAVNavi@@H@Z,naviState,2,ilk-range
?transit@?$StateMachine@VPiki@@@@UAEXPAVPiki@@H@Z,piki,2,ilk-range
?update@PeveCondition@@UAEXXZ,peve,2,ilk-range
?update@PeveEvent@@UAEXXZ,pcammotionevents,3,ilk-range
?updateCont@RigidBody@@UAEXXZ,mapMgr,2,ilk-range
?viewDoAnimation@PelletView@@UAEXXZ,tekibteki,2,ilk-range
?viewFinishMotion@PelletView@@UAEXXZ,tekibteki,2,ilk-range
?viewSetMotionSpeed@PelletView@@UAEXM@Z,tekibteki,2,ilk-range
?viewStartExplodeMotion@PelletView@@UAEXM@Z,tekibteki,5,ilk-range
?wallCallback@Creature@@UAEXAAVPlane@@PAVDynCollObject@@@Z,itemMgr,24,ilk-range
