decorated,owner_unit,n_emitters,method
??0TekiCreaturePointerCondition@@QAE@PAVCreature@@@Z,taicollec,2,ilk-range
??0TekiDistanceCondition@@QAE@PAVTeki@@M@Z,tekibteki,7,ilk-range
??0TekiLowerCondition@@QAE@PAVTeki@@@Z,taiotimoti,2,ilk-range
??0TekiLowerRangeCondition@@QAE@PAVTeki@@@Z,tekibteki,5,ilk-range
??0TekiNotCondition@@QAE@PAVCondition@@@Z,tekibteki,9,ilk-range
??0TekiPositionSphereDistanceCondition@@QAE@VVector3f@@M@Z,tekibteki,3,ilk-range
??0TekiRecognitionCondition@@QAE@PAVTeki@@@Z,tekibteki,10,ilk-range
??0TekiStickerCondition@@QAE@PAVTeki@@@Z,tekibteki,9,ilk-range
??0TekiStickingCondition@@QAE@XZ,tekibteki,2,ilk-range
??0TekiTypeCondition@@QAE@H@Z,taichappy,2,ilk-range
??0TekiVisibleCondition@@QAE@PAVTeki@@@Z,taicollec,3,ilk-range
??0Traversable@@QAE@XZ,itemMgr,9,ilk-range
??0Tube@@QAE@AAVVector3f@@0MM@Z,piki,3,link-order
??0Tube@@QAE@XZ,piki,4,ilk-range
??0WorldSpring@@QAE@XZ,mapMgr,2,link-order
??0ayuID@@QAE@PAD@Z,gameflow,27,ilk-range
??AColCounter@GameStat@@QAEHH@Z,newPikiGame,8,ilk-range
??BColCounter@GameStat@@QAEHXZ,newPikiGame,12,ilk-range
??BCounter@GameStat@@QAEHXZ,gameCoreSection,2,ilk-range
??D@YA?AVMatrix3f@@ABV0@0@Z,mapMgr,2,ilk-range
??D@YA?AVVector3f@@ABMABV0@@Z,mapMgr,38,ilk-range
??D@YA?AVVector3f@@ABV0@ABM@Z,cinePlayer,68,ilk-range
??D@YA?AVVector3f@@ABVMatrix3f@@ABV0@@Z,mapMgr,2,ilk-range
??DIterator@@QAEPAVCreature@@XZ,tekimgr,66,ilk-range
??G@YA?AVVector3f@@ABV0@0@Z,titles,85,ilk-range
??G@YA?AVVector3f@@ABV0@@Z,cinePlayer,5,ilk-range
??H@YA?AVVector3f@@ABV0@0@Z,lightPool,65,ilk-range
??R?$Parm@H@@QAEAAHXZ,animMgr,37,ilk-range
??R?$Parm@M@@QAEAAMXZ,gameflow,65,ilk-range
??R?$Parm@VString@@@@QAEAAVString@@XZ,animMgr,6,ilk-range
?CP@@YA?AVVector3f@@ABV1@0@Z,mapMgr,2,ilk-range
?Initialise@GameHiscores@@QAEXXZ,gameflow,2,ilk-range
?Initialise@GamePrefs@@QAEXXZ,gameflow,2,ilk-range
?Initialise@GameRecBornPikmin@@QAEXXZ,gameflow,2,link-order
?Initialise@GameRecChalCourse@@QAEXXZ,gameflow,2,ilk-range
?Initialise@GameRecDeadPikmin@@QAEXXZ,gameflow,2,ilk-range
?Initialise@GameRecMinDay@@QAEXXZ,gameflow,2,link-order
?OrthonormaliseOrientation@@YAXAAVMatrix3f@@@Z,mapMgr,2,ilk-range
?Rand@zen@@YAMM@Z,drawGameOver,14,ilk-range
?RoundOff@zen@@YAHM@Z,drawGameInfo,28,ilk-range
?Set@ayuID@@QAEXPAD@Z,gameflow,27,link-order
?Transpose@@YA?AVMatrix3f@@ABV1@@Z,mapMgr,2,ilk-range
?abs@?$NsLibMath@H@@SAHH@Z,PomAi,2,ilk-range
?abs@?$NsLibMath@M@@SAMM@Z,MizuAi,6,ilk-range
?absolute@?$NMath@M@@SAMM@Z,pcamcamera,8,ilk-range
?act@TAIAnoReaction@@UAE_NAAVTeki@@@Z,TAImiurin,5,ilk-range
?act@TAIAoutsideTerritory@@UAE_NAAVTeki@@@Z,TAImiurin,4,link-order
?act@TAIAtimerReaction@@UAE_NAAVTeki@@@Z,TAIotama,9,ilk-range
?act@TaiAction@@UAE_NAAVTeki@@@Z,taichappy,25,ilk-range
?act@TaiAndAction@@UAE_NAAVTeki@@@Z,taichappy,2,ilk-range
?act@TaiNotAction@@UAE_NAAVTeki@@@Z,tainapkid,2,ilk-range
?act@TaiOnceAction@@UAE_NAAVTeki@@@Z,taichappy,5,ilk-range
?actBoss@Interaction@@UAE_NPAVBoss@@@Z,tekibteki,47,ilk-range
?actBridge@Interaction@@UAE_NPAVBridge@@@Z,tekibteki,47,ilk-range
?actByEvent@TaiAction@@UAE_NAAVTekiEvent@@@Z,taichappy,26,ilk-range
?actCommon@Interaction@@UAE_NPAVCreature@@@Z,tekibteki,47,ilk-range
?actHinderRock@Interaction@@UAE_NPAVHinderRock@@@Z,tekibteki,47,ilk-range
?actItem@Interaction@@UAE_NPAVItemCreature@@@Z,tekibteki,47,ilk-range
?actNavi@Interaction@@UAE_NPAVNavi@@@Z,tekibteki,47,ilk-range
?actPellet@Interaction@@UAE_NPAVPellet@@@Z,tekibteki,47,ilk-range
?actTeki@Interaction@@UAE_NPAVTeki@@@Z,tekibteki,47,ilk-range
?addAnimTimer@Boss@@QAEXM@Z,SlimeAi,2,ilk-range
?addAttackTimer@Boss@@QAEXM@Z,MizuAi,5,ilk-range
?addCntCallback@RefCountable@@UAEXXZ,tekibteki,41,ilk-range
?addDamagePoint@Boss@@QAEXM@Z,Boss,2,ilk-range
?addFrameCounter@YTeki@@QAEMM@Z,TAIotama,14,ilk-range
?addInfoKey@AnimInfo@@QAEXPAVAnimKey@@@Z,TAIotama,11,ilk-range
?addInfoKey@TAIanimation@@QAEXHH@Z,TAIotama,11,ilk-range
?addKeyFrame@TAIanimation@@QAEXH@Z,TAIotama,10,ilk-range
?aiCullable@Creature@@QAE_NXZ,mapMgr,22,ilk-range
?alone@P2DPane@@QAE_NXZ,drawCommon,2,link-order
?alwaysUpdatePlatform@Creature@@UAE_NXZ,itemMgr,38,ilk-range
?animationFinished@BTeki@@QAE_NXZ,taiotimoti,10,ilk-range
?appendChild@?$PSUTree@VP2DPane@@@@QAE_NPAV1@@Z,drawCommon,3,ilk-range
?appendChild@P2DPane@@QAE_NPAV1@@Z,drawCommon,2,link-order
?applyBodyFriction@RigidBody@@UAEXHAAVVector3f@@00@Z,mapMgr,2,link-order
?applyForce@RigidBody@@QAEXHAAVVector3f@@0@Z,mapMgr,2,ilk-range
?attackDefaultPortion@Boss@@UAE_NXZ,Boss,10,ilk-range
?available@SearchBuffer@@QAE_NXZ,objectMgr,2,ilk-range
?bombDamageCounter@Boss@@UAEXPAVCollPart@@@Z,Boss,10,ilk-range
?bounceCallback@Creature@@UAEXXZ,creature,19,link-order
?calcDirection@BTeki@@SAMAAVVector3f@@@Z,tekibteki,8,ilk-range
?calcMtxBotIdent@NsCalculation@@SAXAAVMatrix4f@@@Z,KingBody,2,ilk-range
?calcMtxTrans@NsCalculation@@SAXABVMatrix4f@@HAAVVector3f@@@Z,KingBody,5,ilk-range
?calcNearerDirection@NMathF@@SAMMM@Z,pcamcamera,3,ilk-range
?calcNearerDirection@NsMathF@@SAMMM@Z,Boss,3,ilk-range
?calcOuterPro@NsCalculation@@SAXABVVector3f@@0AAV2@@Z,SnakeBody,4,ilk-range
?calcSphereDistance@BTeki@@QAEMAAVCreature@@@Z,tekibteki,4,ilk-range
?calcTargetDirection@BTeki@@QAEMAAVVector3f@@@Z,tekibteki,5,ilk-range
?calcVectorTrans@NsCalculation@@SAXABVVector3f@@HAAVMatrix4f@@@Z,SlimeBody,4,ilk-range
?changeContext@Animator@@UAEXPAVAnimContext@@@Z,cinePlayer,3,ilk-range
?clear@?$SmartPtr@VCreature@@@@QAEXXZ,tekibteki,17,ilk-range
?clearCreaturePointer@BTeki@@QAEXH@Z,taicollec,3,ilk-range
?clearEventOption@PeveEvent@@UAEXH@Z,pcammotionevents,4,ilk-range
?clearMode@PathFinder@@SAXXZ,piki,3,ilk-range
?collisionCallback@Boss@@UAEXAAVCollEvent@@@Z,Boss,7,ilk-range
?collisionCallback@Creature@@UAEXAAVCollEvent@@@Z,creature,7,link-order
?computeForces@RigidBody@@UAEXHM@Z,mapMgr,2,link-order
?cos@NMathF@@SAMM@Z,nlibgeometry,32,ilk-range
?create@?$StateMachine@VAICreature@@@@QAEXH@Z,itemAI,2,ilk-range
?cullingOff@EffectMgr@@QAEXXZ,introGame,2,ilk-range
?cullingOn@EffectMgr@@QAEXXZ,moviePlayer,2,ilk-range
?d2r@NMathF@@SAMM@Z,pcamcamera,6,ilk-range
?dec@Iterator@@QAEXXZ,tekibteki,14,ilk-range
?defaultInitialiser@Action@@UAEXXZ,aiFree,32,ilk-range
?demoDraw@Creature@@UAEXAAVGraphics@@PAVMatrix4f@@@Z,tekibteki,40,ilk-range
?disableAICulling@Creature@@QAEXXZ,tekibteki,8,ilk-range
?disableGravity@Creature@@QAEXXZ,itemAI,3,ilk-range
?disableGroundOffset@Creature@@QAEXXZ,itemGem,2,ilk-range
?distanceXZ@NVector3f@@QAEMAAVVector3f@@@Z,pcamcameramanager,8,ilk-range
?doAI@Creature@@MAEXXZ,pelletMgr,10,link-order
?doAdjustFaceDir@Generator@@QAEHXZ,workObject,4,ilk-range
?doAnimation@Creature@@MAEXXZ,navi,10,ilk-range
