stem,lo_rva,hi_rva
drawcmresult,0x1c74d0,0x1c90c0
drawcmcourseselect,0x1c90c0,0x1ca830
drawworldmap,0x1ca830,0x1d43b0
tekiyamashita,0x1d43b0,0x1d5680
ptclgenpack,0x1d5680,0x1d6070
particlegenerator,0x1d6070,0x1d9e60
tekiyteki,0x1d9e60,0x1dae20
taiaeffect,0x1dae20,0x1db680
drawaccount,0x1db680,0x1dc2d0
drawhurryup,0x1dc2d0,0x1dd1a0
drawcontainer,0x1dd1a0,0x1e1640
zenmath,0x1e1640,0x1e1f20
particleloader,0x1e1f20,0x1e2450
simpleparticle,0x1e2450,0x1e2b20
particlemdlmanager,0x1e2b20,0x1e33b0
drawmenu,0x1e33b0,0x1e5f60
menupanelmgr,0x1e5f60,0x1e6b90
drawcommon,0x1e6b90,0x1e82b0
drawcmbest,0x1e82b0,0x1e8cf0
alphawipe,0x1e8cf0,0x1e91d0
p2dscreen,0x1e91d0,0x1e9e70
drawoptionsave,0x1e9e70,0x1ea4f0
drawsavemes,0x1ea4f0,0x1eb670
drawufoparts,0x1eb670,0x1ebe90
drawwmpause,0x1ebe90,0x1ec210
p2dpane,0x1ec210,0x1edc70
putrect,0x1edc70,0x1ee1b0
damageeffect,0x1ee1b0,0x1ee2e0
zensys,0x1ee2e0,0x1ee510
zengraphics,0x1ee510,0x1eea20
p2dperspgraph,0x1eea20,0x1ef450
p2dgrafcontext,0x1ef450,0x1f0610
effectmgr2d,0x1f0610,0x1f0bc0
drawcmscore,0x1f0bc0,0x1f19a0
drawcmtitle,0x1f19a0,0x1f1e70
drawmenubase,0x1f1e70,0x1f2ba0
spectrumcursormgr,0x1f2ba0,0x1f3600
taiotama,0x1f3600,0x1f5700
taiusuba,0x1f5700,0x1f6410
taimiurin,0x1f6410,0x1fc1d0
taihibaa,0x1fc1d0,0x1fd820
taidororo,0x1fd820,0x201a20
taitamago,0x201a20,0x202d00
taikabekuic,0x202d00,0x2072d0
taikabekuib,0x2072d0,0x2099f0
taikabekuia,0x2099f0,0x20b8b0
taibeatle,0x20b8b0,0x210640
taimar,0x210640,0x214c00
taitank,0x214c00,0x217b50
bboardcolouranim,0x217b50,0x218080
taieffectattack,0x218080,0x218f90
zencontroller,0x218f90,0x2193b0
texanim,0x2193b0,0x2195b0
