decorated,owner_unit,n_emitters,method
?getDListPtr@Graphics@@UAEPAEXZ,graphics,9,link-order
?getDListRemainSize@Graphics@@UAEKXZ,graphics,9,link-order
?getFade@StdSystem@@QAEMXZ,graphics,24,ilk-range
?getFrameRate@System@@QAEMXZ,graphics,24,ilk-range
?getFrameTime@System@@QAEMXZ,graphics,24,ilk-range
?getFree@AyuStack@@QAEHXZ,graphics,24,ilk-range
?getHalfRand@StdSystem@@SAMM@Z,graphics,24,link-order
?getHeapNum@StdSystem@@QAEHXZ,graphics,24,ilk-range
?getLength@RamStream@@UAEHXZ,graphics,27,ilk-range
?getLength@RandomAccessStream@@UAEHXZ,graphics,27,ilk-range
?getMaxFree@AyuStack@@QAEHXZ,graphics,24,ilk-range
?getModelMatrix@Node@@UAEPAVMatrix4f@@XZ,graphics,24,ilk-range
?getOpenFilename@AgeServer@@QAE_NAAVString@@PAD@Z,graphics,14,link-order
?getPending@BufferedInputStream@@UAEHXZ,streamBufferedInput,2,link-order
?getPending@RamStream@@UAEHXZ,graphics,27,ilk-range
?getPending@RandomAccessStream@@UAEHXZ,graphics,27,ilk-range
?getPosition@BufferedInputStream@@UAEHXZ,streamBufferedInput,2,link-order
?getPosition@RamStream@@UAEHXZ,graphics,27,ilk-range
?getPosition@RandomAccessStream@@UAEHXZ,graphics,27,ilk-range
?getRand@StdSystem@@QAEMM@Z,graphics,24,ilk-range
?getRow@Matrix4f@@QAEXHAAVVector3f@@@Z,graphics,25,ilk-range
?getSaveFilename@AgeServer@@QAE_NAAVString@@PAD@Z,graphics,14,link-order
?getTopUsed@AyuStack@@QAEHXZ,graphics,24,ilk-range
?getVerticalFilter@Graphics@@UAEXPAE@Z,graphics,9,link-order
?height@RectArea@@QAEHXZ,graphics,11,ilk-range
?idle@BaseApp@@UAEHXZ,atx,4,ilk-range
?inTriClampTo@CollTriInfo@@QAE_NAAVVector3f@@@Z,graphics,11,ilk-range
?inactivate@AyuStack@@QAEXXZ,graphics,24,ilk-range
?init@AtxStream@@QAEXXZ,graphics,15,ilk-range
?init@String@@QAEXH@Z,graphics,17,ilk-range
?init@String@@QAEXPAD@Z,graphics,17,ilk-range
?init@String@@QAEXPADH@Z,graphics,17,ilk-range
?initCore@CoreNode@@QAEXPAD@Z,graphics,24,ilk-range
?initialise@Controller@@QAEXK@Z,graphics,24,link-order
?input@Vector3f@@QAEXAAV1@@Z,graphics,25,ilk-range
?insertAfter@CacheInfo@@QAEXPAV1@@Z,shapeBase,2,link-order
?intersects@BoundBox@@QAE_NAAV1@@Z,graphics,11,ilk-range
?isBoundVisible@CullFrustum@@QAEHAAVBoundBox@@H@Z,graphics,12,ilk-range
?isSame@String@@QAE_NPAV1@@Z,graphics,17,ilk-range
?isSame@Vector3f@@QAE_NAAV1@@Z,graphics,25,ilk-range
?isWhiteSpace@String@@SA_ND@Z,graphics,17,ilk-range
?keyClick@Controller@@QAE_NK@Z,graphics,24,link-order
?keyDoubleClick@Controller@@QAE_NK@Z,graphics,24,link-order
?keyDown@BaseApp@@UAE_NHHH@Z,atx,4,ilk-range
?keyDown@Controller@@QAE_NK@Z,graphics,24,link-order
?keyUnClick@Controller@@QAE_NK@Z,graphics,24,link-order
?keyUp@Controller@@QAE_NK@Z,graphics,24,link-order
?length@Vector3f@@QAEMXZ,graphics,25,ilk-range
?lerpTo@Colour@@QAEXAAV1@M0@Z,graphics,12,ilk-range
?lerpTo@Vector3f@@QAEXAAV1@M0@Z,graphics,25,ilk-range
?makeResident@Texture@@UAEXXZ,graphics,13,ilk-range
?makeRouteGroup@BaseShape@@UAEPAVRouteGroup@@XZ,graphics,11,ilk-range
?makeSRT@Matrix4f@@QAEXVSRT@@@Z,graphics,25,ilk-range
?middle@Vector3f@@QAEXAAV1@0@Z,graphics,25,ilk-range
?msgCommand@EditNode@@UAEXAAVDataMsg@@@Z,graphics,11,ilk-range
?multiply@Vector3f@@QAEXM@Z,graphics,25,ilk-range
?negate@Vector3f@@QAEXXZ,graphics,25,ilk-range
?normalise@Vector3f@@QAEMXZ,graphics,25,ilk-range
