rva,va,kind,size,name_mangled,name,source
0x00484030,0x10484030,string,0,??_C@_07BLH@MOVENEW?$AA@,"""MOVENEW""",ilk
0x00484038,0x10484038,string,0,??_C@_0N@GMAM@MOUTH?5RESET?6?$AA@,"""MOUTH RESET\n""",ilk
0x00484048,0x10484048,string,0,??_C@_0BA@PGBK@after?5update?5AI?$AA@,"""after update AI""",ilk
0x00484058,0x10484058,string,0,??_C@_0P@GBA@nan?5detected?5?$CB?$AA@,"""nan detected !""",ilk
0x00484068,0x10484068,string,0,??_C@_0N@NJHA@meck?8n?5meck?6?$AA@,"""meck\'n meck\n""",ilk
0x00484078,0x10484078,string,0,??_C@_0DM@NNIB@c?3?2development?2dolphinpiki?2plugp@,"""c:\\development\\dolphinpiki\\plugp""...",ilk
0x004840b4,0x104840b4,vtable,0,??_7CndIsAtari@@6B@,const CndIsAtari::`vftable',ilk
0x004840b8,0x104840b8,string,0,??_C@_0CM@MCME@?5?$DP?$DP?$DP?$DP?$DP?$DP?$DP?$DP?$DP?5piki?5uses?5Creature?3?3n@,""" ????????? piki uses Creature::n""...",ilk
0x004840e4,0x104840e4,string,0,??_C@_06MAMI@shadow?$AA@,"""shadow""",ilk
0x004840ec,0x104840ec,string,0,??_C@_0M@JIDK@navi?5slip?$CB?6?$AA@,"""navi slip!\n""",ilk
0x004840f8,0x104840f8,string,0,??_C@_0L@JIH@TUBE_CHILD?$AA@,"""TUBE_CHILD""",ilk
0x00484104,0x10484104,string,0,??_C@_04IJL@TUBE?$AA@,"""TUBE""",ilk
0x0048410c,0x1048410c,string,0,??_C@_08CNDN@CYLINDER?$AA@,"""CYLINDER""",ilk
0x00484118,0x10484118,string,0,??_C@_09NKPJ@REFERENCE?$AA@,"""REFERENCE""",ilk
0x00484124,0x10484124,string,0,??_C@_0M@OBIC@BOUNDSPHERE?$AA@,"""BOUNDSPHERE""",ilk
0x00484130,0x10484130,string,0,??_C@_09GPHO@COLLISION?$AA@,"""COLLISION""",ilk
0x0048413c,0x1048413c,string,0,??_C@_0CL@PKGA@collide?5with?5code?5c?$CK?$CK?$CK?$CK?5?3?5code?$CI?$CF@,"""collide with code c**** : code(%""...",ilk
0x00484168,0x10484168,string,0,??_C@_08KJNP@collInfo?$AA@,"""collInfo""",ilk
