rva,kind,size,name_mangled,name,source
0x00009060,function,74,,FUN_10009060,ghidra
0x000090b0,function,75,,FUN_100090b0,ghidra
0x00009100,function,99,,FUN_10009100,ghidra
0x00009170,function,73,,FUN_10009170,ghidra
0x000091c0,function,75,,FUN_100091c0,ghidra
0x00009210,function,99,,FUN_10009210,ghidra
0x00009280,function,104,,FUN_10009280,ghidra
0x000092f0,function,75,,FUN_100092f0,ghidra
0x00009340,function,194,,FUN_10009340,ghidra
0x00009410,function,48,,ayuID::ayuID,ghidra
0x00009440,function,39,,ayuID::Num,ghidra
0x00009470,function,38,,FUN_10009470,ghidra
0x000094a0,function,38,,FUN_100094a0,ghidra
0x000094d0,function,38,,FUN_100094d0,ghidra
0x00009500,function,108,,MovieInfo::update,ghidra
0x00009570,function,202,,MovieInfo::setCamera,ghidra
0x00009640,function,63,,MovieInfo::refresh,ghidra
0x00009680,function,191,,MoviePlayer::MoviePlayer,ghidra
0x00009740,function,281,,MoviePlayer::resetMovieList,ghidra
0x00009860,function,157,,MoviePlayer::fixMovieList,ghidra
0x00009900,function,93,,MoviePlayer::findMovie,ghidra
0x00009960,function,407,,MoviePlayer::initMovie,ghidra
0x00009b00,function,227,,MoviePlayer_Print,ghidra
0x00009bf0,function,164,,MoviePlayer::translateIndex,ghidra
0x00009ca0,function,1434,,MoviePlayer::startMovie,ghidra
0x0000a240,function,128,,moviePlayer_Error,ghidra
0x0000a2c0,function,38,,MoviePlayer::sndStartMovie,ghidra
0x0000a2f0,function,292,,MoviePlayer::initMovieFlags,ghidra
0x0000a420,function,38,,MoviePlayer::sndFrameMovie,ghidra
0x0000a450,function,102,,MoviePlayer::sndStopMovie,ghidra
0x0000a4c0,function,1174,,MoviePlayer::update,ghidra
0x0000a960,function,226,,MoviePlayer::skipScene,ghidra
0x0000aa50,function,95,,MoviePlayer::getLookAtPos,ghidra
0x0000aab0,function,234,,MoviePlayer::setCamera,ghidra
0x0000aba0,function,115,,MoviePlayer::addLights,ghidra
0x0000ac20,function,118,,MoviePlayer::refresh,ghidra
0x0000aca0,function,72,,MoviePlayer::nextFrame,ghidra
0x0000acf0,function,100,,MoviePlayer::backFrame,ghidra
0x0000ad60,function,67,,EffectMgr::killAll,ghidra
0x0000adb0,function,46,,EffectMgr::cullingOn,ghidra
0x0000ade0,function,112,,MovieInfo::MovieInfo,ghidra
0x0000ae50,function,209,,MemoryCard::calcChecksum,ghidra
0x0000af30,function,38,,MemoryCard::hasCardFinished,ghidra
0x0000af60,function,36,,FUN_1000af60,ghidra
0x0000af90,function,38,,FUN_1000af90,ghidra
0x0000afc0,function,36,,FUN_1000afc0,ghidra
0x0000aff0,function,38,,FUN_1000aff0,ghidra
0x0000b020,function,38,,FUN_1000b020,ghidra
0x0000b050,function,50,,FUN_1000b050,ghidra
0x0000b090,function,48,,FUN_1000b090,ghidra
0x0000b0c0,function,73,,MemoryCard::getCardStatus,ghidra
0x0000b110,function,227,,MemoryCard_Print,ghidra
0x0000b200,function,36,,FUN_1000b200,ghidra
0x0000b230,function,44,,MemoryCard::getMemoryCardState,ghidra
0x0000b260,function,36,,MemoryCard::loadCurrentFile,ghidra
0x0000b290,function,53,,MemoryCard::getNewestOptionsIndex,ghidra
0x0000b2d0,function,36,,MemoryCard::loadOptions,ghidra
0x0000b300,function,36,,MemoryCard::saveOptions,ghidra
0x0000b330,function,36,,FUN_1000b330,ghidra
0x0000b360,function,43,,MemoryCard::saveCurrentGame,ghidra
0x0000b390,function,304,,FUN_1000b390,ghidra
0x0000b4c0,function,124,,MemoryCard::readCurrentGame,ghidra
0x0000b540,function,38,,FUN_1000b540,ghidra
0x0000b570,function,38,,FUN_1000b570,ghidra
