rva,kind,size,name_mangled,name,source
0x0000258b,thunk,5,?write@VtxMatrix@@QAEXAAVRandomAccessStream@@@Z,VtxMatrix::write(RandomAccessStream &),ida
0x00002590,thunk,5,?refresh@RouteGroup@@QAEXAAVGraphics@@PAVEditNode@@@Z,"RouteGroup::refresh(Graphics &,EditNode *)",ida
0x00002595,thunk,5,??0LFInfo@@QAE@ABV0@@Z,LFInfo::LFInfo(LFInfo const &),ida
0x0000259a,thunk,5,??0Timers@@QAE@XZ,Timers::Timers(void),ida
0x0000259f,thunk,5,?copyUntil@String@@SA_NPAD0DPAPAD@Z,"String::copyUntil(char *,char *,char,char * *)",ida
0x000025a4,thunk,5,??0Matrix3f@@IAE@W4do_not_initialize@0@@Z,Matrix3f::Matrix3f(Matrix3f::do_not_initialize),ida
0x000025a9,thunk,5,??1AppWindow@@QAE@XZ,AppWindow::~AppWindow(void),ida
0x000025ae,thunk,5,?getAppMemory@StdSystem@@QAEXPAD@Z,StdSystem::getAppMemory(char *),ida
0x000025b3,thunk,5,??4ID32@@QAEX_I@Z,ID32::operator=(unsigned __int32),ida
0x000025b8,thunk,5,?reflect@Plane@@QAEXAAVVector3f@@@Z,Plane::reflect(Vector3f &),ida
0x000025bd,thunk,5,??4Shape@@QAEAAV0@ABV0@@Z,Shape::operator=(Shape const &),ida
0x000025c2,thunk,5,??4LightGroup@@QAEAAV0@ABV0@@Z,LightGroup::operator=(LightGroup const &),ida
0x000025c7,thunk,5,?Next@CoreNode@@QAEXPAV1@@Z,CoreNode::Next(CoreNode *),ida
0x000025cc,thunk,5,?output@Vector3f@@QAEXAAV1@@Z,Vector3f::output(Vector3f &),ida
0x000025d1,thunk,5,??4AtxStream@@QAEAAV0@ABV0@@Z,AtxStream::operator=(AtxStream const &),ida
0x000025d6,thunk,5,??4GfxObject@@QAEAAV0@ABV0@@Z,GfxObject::operator=(GfxObject const &),ida
0x000025db,thunk,5,??4CurveSection@@QAEAAV0@ABV0@@Z,CurveSection::operator=(CurveSection const &),ida
0x000025e0,thunk,5,??4PVWTexAnimInfo@@QAEAAV0@ABV0@@Z,PVWTexAnimInfo::operator=(PVWTexAnimInfo const &),ida
0x000025ea,thunk,5,?close@Stream@@UAEXXZ,Stream::close(void),ida
0x000025ef,thunk,5,?initOpenGL@RenderWindow@@QAEXXZ,RenderWindow::initOpenGL(void),ida
0x000025f4,thunk,5,?setVideoMode@System@@QAE_N_NHHH@Z,"System::setVideoMode(bool,int,int,int)",ida
0x000025f9,thunk,5,?read@PVWKeyInfoS10@@QAEXAAVRandomAccessStream@@@Z,PVWKeyInfoS10::read(RandomAccessStream &),ida
0x000025fe,thunk,5,??0AtxCommandStream@@QAE@PAVBaseApp@@@Z,AtxCommandStream::AtxCommandStream(BaseApp *),ida
0x00002603,thunk,5,,sub_10002603,ida
0x00002608,thunk,5,?resizeFrame@UIWindow@@UAEPAXPAXAAVRectArea@@@Z,"UIWindow::resizeFrame(void *,RectArea &)",ida
0x0000260d,thunk,5,??1Timers@@QAE@XZ,Timers::~Timers(void),ida
0x00002612,thunk,5,??0ShpobjInfo@@QAE@XZ,ShpobjInfo::ShpobjInfo(void),ida
0x00002617,thunk,5,?getAnimInfo@SceneData@@QAEXPAVCmdStream@@@Z,SceneData::getAnimInfo(CmdStream *),ida
0x0000261c,thunk,5,,sub_1000261C,ida
0x00002621,thunk,5,,sub_10002621,ida
0x00002626,thunk,5,?getAtxRouter@System@@QAEPAVAtxRouter@@XZ,System::getAtxRouter(void),ida
0x0000262b,thunk,5,?checkOverflow@AyuStack@@QAE_NXZ,AyuStack::checkOverflow(void),ida
